№,Страна,Регион,Город,Трасса,Месторасположение,Бренд,Бензин,ДТ,ГАЗ,Мойка,Доп. услуги,Категория
8437,РОССИЯ,Республика Башкортостан,,М-12,"Респ. Башкортостан, Дюртюлинский м. р-н, Асяновский сельсовет с.п., Назитамак д., Автодорога М 7 Волга тер, 1230-й км, зд.2",Лукойл,+,+,,,Доп. товары,
8438,РОССИЯ,Республика Башкортостан,,М-12,"Респ. Башкортостан, Дюртюлинский м. р-н, Асяновский сельсовет с.п., Назитамак д., Автодорога М 7 Волга тер, 1230-й км, зд.2",Лукойл,+,+,,,"AdBlue, Доп. товары",
8439,РОССИЯ,Республика Башкортостан,,М-12,"Респ. Башкортостан, Дюртюлинский м. р-н, Асяновский сельсовет с.п., Назитамак д., Автодорога М 7 Волга тер, 1230-й км, зд.2",Лукойл,+,+,,,"AdBlue, Доп. товары",
8440,РОССИЯ,Республика Башкортостан,Абзаково,,"Республика Башкортостан, Белорецкий р-н, с. Абзаково, ул. Школьная, д. 52 А",АЗС,+,+,,,,A
8441,РОССИЯ,Республика Башкортостан,Акбердино,,"Респ. Башкортостан, с. Акбердино, ул. Аквалангистов, 8Б",Лукойл,+,+,,,"AdBlue, Доп. товары",
8442,РОССИЯ,Республика Башкортостан,Акъяр,,"Республика Башкортостан, Хайбуллинский район, с.Акъяр, ул.Восточная, д.15/2",Регион,+,+,,,,A
8443,РОССИЯ,Республика Башкортостан,Алаторка,,"М-5 1499 километр, с. Алаторка, Иглинский р-н, Республика Башкортостан",ЭКО-GAZ,,,+,,,A
8444,РОССИЯ,Республика Башкортостан,Алаторка,М-5,"Респ. Башкортостан,Иглинский р-н,с. Алаторка,1499 км а/д М-5 Урал",Лукойл,+,+,,,"AdBlue, Доп. товары",
8445,РОССИЯ,Республика Башкортостан,Александровский,М5 Урал,"М5, 1275 км, Республика Татарстан, Бавлинский муниц. р-н, СПК Александровский",Роснефтепродукт,+,+,,,AdBlue,B
8446,РОССИЯ,Республика Башкортостан,Амирово,,"республика Башкортостан, Буздякский район, с. Амирово, ул. Школьная 7А",АЗС,+,+,+,,,A
8447,РОССИЯ,Республика Башкортостан,Арлан,,"X7C4+HP Арлан, Республика Башкортостан, Россия",Татнефть,+,+,,,,R
8448,РОССИЯ,Республика Башкортостан,Атык,,"М5 , 1354 км, Республика Башкортостан, д.Юлдызлы, ул.Центральная, д. 65/1",Баштранснефть,+,+,+,,,A
8449,РОССИЯ,Республика Башкортостан,Ауструм,М2 Крым,"М5, 1526км, Башкортостан республика, Иглинский р-он, 3 км после п. Ауструм, АЗС № 238",Центр,+,+,,,,A
8450,РОССИЯ,Республика Башкортостан,Аэропорт (село Булгаково),,"Респ. Башкортостан, Уфимский р-н, Зубовский сельсовет с.п., АЗС №4 территория, здание 1",Лукойл,+,+,,,Доп. товары,
8451,РОССИЯ,Республика Башкортостан,Баймак,,"Республика Башкортостан, Баймакский район, г.Баймак, ул.Революционная, д.35",Регион,+,+,,,,A
8452,РОССИЯ,Республика Башкортостан,Баймак,,"Республика Башкортостан, г. Баймак, ул. Юлалинская, д.80",Башнефтепром,,,+,,,A
8453,РОССИЯ,Республика Башкортостан,Бакалы,,"г. Уфа, ул. Промзона, 5",Mgas,+,+,+,,,A
8454,РОССИЯ,Республика Башкортостан,Бакалы,,"Башкортостан республика, село Верхнеяркеево, ул. Комсомольская, 1а",АГЗС,,,+,+,,A
8455,РОССИЯ,Республика Башкортостан,Бакалы,80К-015,"Респ. Башкортостан, с. Бакалы, ул. Мостовая, 12",Лукойл,+,+,,,"AdBlue, Доп. товары",
8456,РОССИЯ,Республика Башкортостан,Белебей,,"Респ. Башкортостан, г. Белебей, ш. Нефтяников, 5",Лукойл,+,+,,,"AdBlue, Доп. товары",
8457,РОССИЯ,Республика Башкортостан,Белорецк,80К031,"Башкортостан республика, г. Белорецк, с. Серменево, ул. Полевая, 26.",UFAOIL,+,+,,,,G
8458,РОССИЯ,Республика Башкортостан,Белорецк,,"Башкортостан республика, г. Белорецк, ул. Кирова, 179.",UFAOIL,+,+,,,,G
8459,РОССИЯ,Республика Башкортостан,Белорецк,,"Башкортостан республика, г. Белорецк, ул. Алексеева, 83.",UFAOIL,+,+,,,,G
8460,РОССИЯ,Республика Башкортостан,Белорецк,,"Белорецк, ул. Тукаева 39",УралНефтеПродукт,+,+,,,,A
8461,РОССИЯ,Республика Башкортостан,Белорецк,,"Республика Башкортостан, г. Белорецк, ул. Ф. Алексеева, д. 82",UFAOIL,+,,,,,A
8462,РОССИЯ,Республика Башкортостан,Белорецк,,"Республика Башкортостан, г. Белорецк, ул. Алексеева, 82",UFAOIL,+,+,,,"AdBlue, Доп. товары",
8463,РОССИЯ,Республика Башкортостан,Белорецк,,"Республика Башкортостан, г. Белорецк, ул. Кирова, 178",UFAOIL,+,+,,,"AdBlue, Доп. товары",
8464,РОССИЯ,Республика Башкортостан,Бирск,,"ул. Мира, 157",КПД,+,+,+,,,A
8465,РОССИЯ,Республика Башкортостан,Бирск,,"Республика Башкортостан, г.Бирск, ул. Кольцевая, 13",ЭКОЙЛ,+,+,+,,,A
8466,РОССИЯ,Республика Башкортостан,Бирск,,"РБ, г.Бирск, ул.Мира, напротив дома 157",АГЗС,,,+,,,A
8467,РОССИЯ,Республика Башкортостан,Бирск,,"Республика Башкортостан, Бирский мкр., г. Бирск, Кольцевая ул., д. 11",ЭКОЙЛ,,,+,,,A
8468,РОССИЯ,Республика Башкортостан,Благовещенск,,"Башкортостан республика. г. Благовещенск, ул. Седова, д. 144 Б",АГЗС,,,+,,,A
8469,РОССИЯ,Республика Башкортостан,Буздяк,,"Республика Башкортостан, с. Буздяк, ул. Октябрьская, д.32/1",ЭКОЙЛ,+,+,+,+,,A
8470,РОССИЯ,Республика Башкортостан,Булгаково,,"28 км трасса Уфа-Оренбург, 1",ПетролГаз,,,+,,,A
8471,РОССИЯ,Республика Башкортостан,Булгаково,,"с. Булгаково, ул. Школьная, д. 41/13",Рустэк,+,,+,,,A
8472,РОССИЯ,Республика Башкортостан,Бураево,,"РБ, Бураевский р-н, С.Бураево, ул.Строителей, 10",Автомойка и шиномонтаж,,,,+,Шиномонтаж,A
8473,РОССИЯ,Республика Башкортостан,Верный,М-5,"Респ. Башкортостан, Иглинский район, Производственная тер., зд. 6",Лукойл,+,+,,,Доп. товары,
8474,РОССИЯ,Республика Башкортостан,Верхнеяркеево,,"ул. Казанская, 3/2",Mgas,,,+,,Метан,A
8475,РОССИЯ,Республика Башкортостан,Верхнеяркеево,М-7,"Респ. Башкортостан, с. Верхнеяркеево, ул. Бакалинская, 6",Лукойл,+,+,,,"AdBlue, Доп. товары",
8476,РОССИЯ,Республика Башкортостан,верхние татышлы,80К-005,"Респ. Башкортостан, с. Верхние Татышлы, ул. Центральная, 51",Лукойл,+,+,,,"AdBlue, Доп. товары",
8477,РОССИЯ,Республика Башкортостан,Восточное,,"Республика Башкортостан, Буздякский район, М-5 Урал, 1372-й километр",Татнефть,+,+,+,,,R
8478,РОССИЯ,Республика Башкортостан,Давлеканово,,ул. Энгельса,БАШСНАБГАЗ,+,,+,,,A
8479,РОССИЯ,Республика Башкортостан,Давлеканово,,"Республика Башкортостан, г. Давлеканово",Mgas,,,+,,,A
8480,РОССИЯ,Республика Башкортостан,Дубрава,,"РБ, Уфимский район, д. Дубрава",Альянс,,,+,,,A
8481,РОССИЯ,Республика Башкортостан,Дюртюли,,"Республика Башкортостан, Дюртюлинский район, с. Иванаево, промзона",Mgas,+,+,+,+,,A
8482,РОССИЯ,Республика Башкортостан,Дюртюли,,"РБ, Дюртюлинский р-н, а/д Нефтекамск-Дюртюли-Агидель,  на кольцевой развязке Дюртюли-Нефтекамск",Экотэк,,,+,,,A
8483,РОССИЯ,Республика Башкортостан,Дюртюли,,"Респ. Башкортостан, г. Дюртюли, ул. Садовая, 4",Лукойл,+,+,,,"AdBlue, Доп. товары",
8484,РОССИЯ,Республика Башкортостан,Ермолаево,,"MVW4+5G Ермолаево, Республика Башкортостан, Россия",Татнефть,+,+,,,,R
8485,РОССИЯ,Республика Башкортостан,Жуково,,"РБ, Уфимский р-н, Авдонский с/с, 1450 км а/д Самара-уфа-Челябинск, в 500 м от транспортной развязки (в р-не с. Жуково)",Экотэк,+,+,+,,Метан,A
8486,РОССИЯ,Республика Башкортостан,Жуково,,"РБ, Уфимский р-н, Авдонский с/с, 1450 км а/д Самара-уфа-Челябинск, рядом с кафе ""Харчевня"" напротив МАЗС Авдон-1",УралГаз,,,+,,,A
8487,РОССИЯ,Республика Башкортостан,Жуково,,"РБ, Уфимский район, с. Жуково, ул. Садовая, д. 2/1",ЭКО-GAZ,,,+,,,A
8488,РОССИЯ,Республика Башкортостан,Зеленая Поляна,,"а/д Уфа - Магнитогорск, 292 км, Республика Башкортостан, Абзелиловский район, с. Зеленая Поляна, ул. Торфяная, д. 27 # АЗС №82",Газпром,+,+,,,,G
8489,РОССИЯ,Республика Башкортостан,Зилаир,,"Республика Башкортостан, с. Зилаир, ул. С. Юлаева, д.49В",Башнефтепром,,,+,,,A
8490,РОССИЯ,Республика Башкортостан,зинино,,"Республика Башкортостан, д. Зинино, Нагаевское шоссе, 111",UFAOIL,+,+,,,"AdBlue, Доп. товары",
8491,РОССИЯ,Республика Башкортостан,Зирган,1Р 314,"Р240, (Р314), 159 км, Республика Башкортостан, Мелеузский р-н, с. Зирган, ул. Восточная # АЗС №76",Газпром,+,+,,,,G
8492,РОССИЯ,Республика Башкортостан,Зирган,,"Республика Башкортостан, Мелеузовский р-н, с. Зирган, ул. Советская, д. 237",АГЗС,,,+,,,A
8493,РОССИЯ,Республика Башкортостан,Зирган,Р-240,"Респ. Башкортостан, с. Зирган, ул. Революционеров, 147",Лукойл,+,+,,,"AdBlue, Доп. товары",
8494,РОССИЯ,Республика Башкортостан,Зубово,,"г. Уфа,  село Зубово, ул.Электрозаводская, здание 6/4.",Ирбис,+,+,+,,,G
8495,РОССИЯ,Республика Башкортостан,Зубово,,"ул. Объездная, 23/1",БАШСНАБГАЗ,+,+,+,,,A
8496,РОССИЯ,Республика Башкортостан,Зубово,,"с. Зубово, Объездная, 20",БАШСНАБГАЗ,+,,+,,,A
8497,РОССИЯ,Республика Башкортостан,Зубово,,"ул. Серебряная, 91/2",БАШСНАБГАЗ,,,+,,,A
8498,РОССИЯ,Республика Башкортостан,Иглино,,"10км, справа ад Уфа-Иглино-Красная Горка, с.Иглино, Республика Башкортостан, Россия",ОПТИ,+,+,+,,,T
8499,РОССИЯ,Республика Башкортостан,Иглино,,"а/д Уфа-Иглино-Красная Горка, 20 км, Иглино, Республика Башкортостан, Россия",ОПТИ,+,+,+,,,T
8500,РОССИЯ,Республика Башкортостан,Иглино,80К-030,"Респ. Башкортостан,р-н. Иглинский,с. Иглино,ул. Горького,д. 16,к. 4",Лукойл,+,+,,,"AdBlue, Доп. товары",
8501,РОССИЯ,Республика Башкортостан,Инзер,,"Республика Башкортостан, Белорецкий р-н, с. Инзер, ул. Транспортная, д. 2 В",АГЗС,,,+,,,A
8502,РОССИЯ,Республика Башкортостан,Исянгулово,,"Республика Башкортостан, Зианчуринский район,  с. Исянгулово, ул. Октябрьской Революции, д.67",Башнефтепром,,,+,,,A
8503,РОССИЯ,Республика Башкортостан,Ишимбаево,,с. Ишимбаево,Газэнерго Ойл,,,+,,,
8504,РОССИЯ,Республика Башкортостан,Ишимбай,,"Республика Башкортостан, Ишимбайский район, примерно в 1 км от ориентира по направлению на северо-запад",АЗС,+,+,,,,A
8505,РОССИЯ,Республика Башкортостан,Ишимбай,,"РБ, г. Ишимбай,  Индустриальное шоссе, 1 Б",Экотэк,+,+,+,,Метан,A
8506,РОССИЯ,Республика Башкортостан,Ишимбай,,"г. Ишимбай, ул. Жукова, 1/1 # АЗС №66",Газпром,+,+,,,,G
8507,РОССИЯ,Республика Башкортостан,Ишимбай,,"г. Ишимбай, Кинзнбулатовское шоссе, 17А",АГЗС,,,+,,,A
8508,РОССИЯ,Республика Башкортостан,Ишлы,1Р 240,"Р-240 59км, г. Уфа, Аургазинский район, 2а",БАШСНАБГАЗ,+,+,+,,,A
8509,РОССИЯ,Республика Башкортостан,Калтымановский,М5 Урал,"Дорогино, трасса Уфа-Челябинск М-5,1494 км",БАШСНАБГАЗ,+,+,+,,Метан,A
8510,РОССИЯ,Республика Башкортостан,Калтымановский,,"трасса М5, 1494 км",АЗС,+,+,,,,A
8511,РОССИЯ,Республика Башкортостан,Каменная Поляна,,"ул. Центральая, 3",БАШСНАБГАЗ,+,,+,,,A
8512,РОССИЯ,Республика Башкортостан,Кандры,,"М5, 1335км, Республика Башкортостан, с. Кандры",АГЗС №1,,,+,,,A
8513,РОССИЯ,Республика Башкортостан,Кантюковка,1Р 314,"Республика Башкортостан, Стерлитамакский р-н, дер. Кантюковка # АЗС №65",Газпром,+,+,,,,G
8514,РОССИЯ,Республика Башкортостан,Карача-Елга,М7,"Республика Башкортостан, Кушнаренковский район, М7 Волга, 1263-й км",Mgas,+,+,+,,,A
8515,РОССИЯ,Республика Башкортостан,Карача-Елга,M7,"63GQ+6Q Карача-Елга, Республика Башкортостан, Россия",ОПТИ,+,+,,,,T
8516,РОССИЯ,Республика Башкортостан,Кашкалаши,,"Республика Башкортостан, Благоварский р-н, с. Кашкалаши, 1413 км, по направлению от Москвы слева, 466 км по направлению от Челябинска справа",АЗС,+,+,,,,A
8517,РОССИЯ,Республика Башкортостан,Кендектамакс,М-5,"Респ. Башкортостан, Туймазинский р-н, Кендектамакс, ул.Речная, зд.1/5",Лукойл,+,+,,,"AdBlue, Доп. товары",
8518,РОССИЯ,Республика Башкортостан,Кирилловский,,"Башкортостан республика, Уфимский район, Кирилловский сельсовет",БАШСНАБГАЗ,+,,+,,,A
8519,РОССИЯ,Республика Башкортостан,Красная Горка,,"РБ, Нуримановский район, с. Красная Горка",Альянс,,,+,,,A
8520,РОССИЯ,Республика Башкортостан,Красноусольский,80Н-004,"Респ. Башкортостан, с. Красноусольский, 3км а/д Красноусольский-Табынский",Лукойл,+,+,,,"AdBlue, Доп. товары",
8521,РОССИЯ,Республика Башкортостан,Кумертау,,"г. Кумертау, ул. Промышленная, 1 А # АЗС №69",Газпром,+,+,,,,G
8522,РОССИЯ,Республика Башкортостан,Кумертау,,"г. Кумертау, ул. Бабаевская 2, литер Б",ПетролГаз,,,+,,,A
8523,РОССИЯ,Республика Башкортостан,Кумертау,,"г. Кумертау, ул. Брикетная, 5/2",ПетролГаз,+,,+,+,,A
8524,РОССИЯ,Республика Башкортостан,Кумертау,,"Республика Башкортостан, г. Кумертау, ул. Магистральная, зд. 18",Горыня,,,+,,Метан,A
8525,РОССИЯ,Республика Башкортостан,Кушнаренково,М-7,"Респ. Башкортостан, с. Кушнаренково, ул. Большевистская, 61",Лукойл,+,+,,,"AdBlue, Доп. товары",
8526,РОССИЯ,Республика Башкортостан,Кызыл-Чишма,,"РБ, Миякинский р-н, въезд в д. Кызыл-Чишма",АГЗС,,,+,,,A
8527,РОССИЯ,Республика Башкортостан,Майский,М-5,"Респ. Башкортостан, Иглинский р-н, Автодороги Самара-Уфа-Челябинск 1548 (+200м) км., соор.1",Лукойл,+,+,,,Доп. товары,
8528,РОССИЯ,Республика Башкортостан,Мармылево,,"РБ, Уфимский район, поселок Мармылево, ул. Мира, д. 27;",ЭКО-GAZ,,,+,,,A
8529,РОССИЯ,Республика Башкортостан,Мармылево,,д. Мармылево,БАШСНАБГАЗ,,,+,,,A
8530,РОССИЯ,Республика Башкортостан,Мелеуз,,"г. Мелеуз, ул. 50 лет ВЛКСМ, 71 # АЗС №68",Газпром,+,+,,,,G
8531,РОССИЯ,Республика Башкортостан,Мелеуз,,"г. Мелеуз, ул. Смоленская, 191",ПетролГаз,,,+,+,,A
8532,РОССИЯ,Республика Башкортостан,Мелеуз,,"Республика Башкортостан, г. Мелеуз, ул. Сельскохозяйственная, д. 1 В",Горыня,,,+,,Метан,A
8533,РОССИЯ,Республика Башкортостан,Мелеуз,,"г. Мелеуз, ул Сайранова, д. 1А",RedCar,,,,+,,A
8534,РОССИЯ,Республика Башкортостан,Мелеуз,,"Респ. Башкортостан, г. Мелеуз, ул. Береговая, 28",Лукойл,+,+,,,"AdBlue, Доп. товары",
8535,РОССИЯ,Республика Башкортостан,Мелеузовский,,"Республика Башкортостан, Мелеузовский р-н, а/д Уфа — Оренбург 197 км, левая сторона придорожной полосы",Mgas,,,+,,,A
8536,РОССИЯ,Республика Башкортостан,Михайловка,,"г. Уфа, ш. Затонское, с. Михайловка,  ул. Стройучасток, 32/2.",Ирбис,+,+,+,+,,G
8537,РОССИЯ,Республика Башкортостан,Михайловка,,"Республика Башкортостан, г. Михайловка, ул. Вишневая, 1/3,",UFAOIL,+,+,+,,"AdBlue, Доп. товары",
8538,РОССИЯ,Республика Башкортостан,Мраково,1Р 361,"Республика Башкортостан, Кугарчинский район, 346 километр, 1а, Р-361",Астра,,,+,,,A
8539,РОССИЯ,Республика Башкортостан,Муракаево,1Р 316,"Р316, 254 км, Республика Башкортастан, д. Муракаево, слева от Уфы # АЗС №78",Газпром,+,+,,,,G
8540,РОССИЯ,Республика Башкортостан,Нагаево,,"с. Нагаево, Нагаевское шоссе, 111",UFAOIL,+,+,+,,Метан,A
8541,РОССИЯ,Республика Башкортостан,Наумовский,,"ул. Мира, 25/Б",АГЗС,,,+,,,R
8542,РОССИЯ,Республика Башкортостан,Нефтекамск,,"ул. Строителей, 76, Нефтекамск, Респ. Башкортостан, Россия, 452688",Татнефть,+,+,,,,R
8543,РОССИЯ,Республика Башкортостан,Нефтекамск,,"РБ, г.Нефтекамск, ул. Трактовая, д.12А",АГЗС,,,+,,,A
8544,РОССИЯ,Республика Башкортостан,Нефтекамск,,"г. Нефтекамск, ул. Магистральная, д. 3 А",Автобаня,,,,+,,A
8545,РОССИЯ,Республика Башкортостан,Нефтекамск,,"Респ. Башкортостан,г. Нефтекамск,ул. Карла Маркса,д. 13",Лукойл,+,+,,,"AdBlue, Доп. товары",
8546,РОССИЯ,Республика Башкортостан,Нефтекамск,,"Респ. Башкортостан, г. Нефтекамск, ул. Автозаводская, 26",Лукойл,+,+,,,"AdBlue, Доп. товары",
8547,РОССИЯ,Республика Башкортостан,Нефтекамск,,"Респ. Башкортостан, г. Нефтекамск, ул. Энергетиков, 2",Лукойл,+,+,,,"AdBlue, Доп. товары",
8548,РОССИЯ,Республика Башкортостан,Нижнеяркеево,,"РБ, Илишевский район, с.Нижнеяркеево, ул. Дорожная, 9/7",Mgas,+,+,+,,,A
8549,РОССИЯ,Республика Башкортостан,Новонагаево,,"с. Нагаево, ш. Нагаевское, 111.",UFAOIL,+,+,,,,A
8550,РОССИЯ,Республика Башкортостан,Новониколаевский,,"Республика Башкортостан, д. Новониколаевский, Наумовский  сельсовет, Стерлитамакский район, ул. Луговая, 43А",БАШСНАБГАЗ,,,+,,,A
8551,РОССИЯ,Республика Башкортостан,Новосуккулово,,"Республика Башкортостан, Туймазинский район",АГЗС,,,+,,,A
8552,РОССИЯ,Республика Башкортостан,Нугуш,,"Республика Башкортостан, Мелеузовский р-н, с. Нугуш, ул. Космонавтов, 30 # АЗС №77",Газпром,+,+,,,,G
8553,РОССИЯ,Республика Башкортостан,Октябрьский,,"ул. Северная, 46, Октябрьский, Респ. Башкортостан, Россия, 452613",Татнефть,+,+,,,,R
8554,РОССИЯ,Республика Башкортостан,Октябрьский,,"ул. Фрунзе, 4/10",РостНефть,+,+,+,,,A
8555,РОССИЯ,Республика Башкортостан,Октябрьский,а/д,"Республика Башкортостан, г. Октябрьский, ул. Космонавтов 3/2",БАШНЕФТЕПРОДУКТ,+,+,,,,A
8556,РОССИЯ,Республика Башкортостан,Октябрьский,,"ул. Космонавтов, 2/2",РостНефть,+,+,+,,,A
8557,РОССИЯ,Республика Башкортостан,Октябрьский,,"Республика Башкортостан, г. Октябрьский, ул. Северная, 38/4",UFAOIL,+,+,+,,"AdBlue, Доп. товары",R
8558,РОССИЯ,Республика Башкортостан,Октябрьский,,"Республика Башкортостан, г. Октябрьский, ул. Кувыкина, 61/1",UFAOIL,+,+,+,,"AdBlue, Доп. товары",A
8559,РОССИЯ,Республика Башкортостан,Октябрьский,,"Республика Башкортостан, г. Октябрьский, ул. Северная, д. 13",АГЗС №1,,,+,,,A
8560,РОССИЯ,Республика Башкортостан,Октябрьский,,"Башкортостан республика, г. Октябрьский, ул. Кортунова, д. 2/2",Нефтепродукт,,,+,,,A
8561,РОССИЯ,Республика Башкортостан,Октябрьский,,"М5, 1286 км,  Башкортостан республика, Октябрьский",Нефтепродукт,,,+,,,A
8562,РОССИЯ,Республика Башкортостан,Октябрьский,,"Республика Башкортостан, г. Октябрьский, ул. Космонавтов, зд. 62",ЭКОЙЛ,,,+,,,A
8563,РОССИЯ,Республика Башкортостан,Октябрьский,,"Респ. Башкортостан, г. Октябрьский, пр. Ленина зд. 68, соор 1",Лукойл,+,+,,,"AdBlue, Доп. товары",
8564,РОССИЯ,Республика Башкортостан,Октябрьский,,"Республика Башкортостан, г. Октябрьский, ул. Северная, 38/4",UFAOIL,+,+,+,,"AdBlue, Доп. товары",
8565,РОССИЯ,Республика Башкортостан,Октябрьский,,"Республика Башкортостан, г. Октябрьский, ул. Кувыкина, 61/1",UFAOIL,+,+,+,,"AdBlue, Доп. товары",
8566,РОССИЯ,Республика Башкортостан,Придорожный,М-5,"Респ. Башкортостан,Уфимский р-н, Придорожный мкр, ул. Анатолия Локотченко, д.4",Лукойл,+,+,,,"AdBlue, Доп. товары",
8567,РОССИЯ,Республика Башкортостан,Раевский,,"ул. Магистральная, 2Б",КУРАЙ,+,+,,,,A
8568,РОССИЯ,Республика Башкортостан,Раевский,,"РБ, Альшеевский р-н, с. Раевский, пересечение а/д Чишмы-Раевка и ул. Магистральная, 2Б",АГЗС,+,,+,,Метан,A
8569,РОССИЯ,Республика Башкортостан,Редькино,80К038,"Республика Башкортостан, Краснокамский район, д. Редькино",Mgas,+,+,+,,,A
8570,РОССИЯ,Республика Башкортостан,Рощинский,Р-240,"Респ. Башкортостан, с/с Рощинский, 111км а/д Уфа-Оренбург",Лукойл,+,+,,,"AdBlue, Доп. товары",
8571,РОССИЯ,Республика Башкортостан,Русский Юрмаш,,"М-5 Урал, 1483-й км, с. Русский Юрмаш, Респ. Башкортостан, Россия, 450902",Татнефть,+,+,,,AdBlue,R
8572,РОССИЯ,Республика Башкортостан,Русский Юрмаш,,"с. Русский Юрмаш, ул. Железнодорожная, д. 64 А",БАШСНАБГАЗ,,,+,,,A
8573,РОССИЯ,Республика Башкортостан,Салават,,"г. Салават, ул. Островского на пересечении с Ленинградской, выезд в южной части города # АЗС №80",Газпром,+,+,,,,G
8574,РОССИЯ,Республика Башкортостан,Салават,,"Республика Башкортостан, г. Салават, ул. Зеленая, д. 9 # АЗС №74",Газпром,+,+,,,,G
8575,РОССИЯ,Республика Башкортостан,Салават,,"ул. Первомайская, 57, Салават, Респ. Башкортостан, Россия, 453252",Татнефть,+,+,,,,R
8576,РОССИЯ,Республика Башкортостан,Салават,,"РБ, г. Салават, ул. Уфимская, д. 15",ПетролГаз,+,+,+,,,A
8577,РОССИЯ,Республика Башкортостан,Салават,,"ул. Губкина, 2г, Салават, Респ. Башкортостан, Россия, 453266",Татнефть,+,+,,,,R
8578,РОССИЯ,Республика Башкортостан,Салават,,"Республика Башкортостан, г. Салават, Вокзальная ул., зд. 9",ЭКОЙЛ,,,+,,,A
8579,РОССИЯ,Республика Башкортостан,Салават,,"Республика Башкортостан, г. Салават, ул. Первомайская, д. 61 А",DA CAR,,,,+,,A
8580,РОССИЯ,Республика Башкортостан,Салават,80К-027,"Респ. Башкортостан, г. Салават, ул. Первомайская, стр. 70",Лукойл,+,+,,,"AdBlue, Доп. товары",
8581,РОССИЯ,Республика Башкортостан,Салават,,"Респ. Башкортостан, г. Салават, ул. Чапаева, 42а",Лукойл,+,+,,,"AdBlue, Доп. товары",
8582,РОССИЯ,Республика Башкортостан,Сальзигутово,,"Республика Башкортостан, Мечетлинский район, д. Сальзтгутово,  128 км автодороги Кропачево-Месягутово-Ачит",Башкирский бензин,,+,,,,A
8583,РОССИЯ,Республика Башкортостан,Серменево,,"Республика Башкортостан, Белорецкий р-н, с. Серменево, Полевая ул., д. 25",UFAOIL,+,+,,,,A
8584,РОССИЯ,Республика Башкортостан,Серменево,,"Республика Башкортостан, с. Серменево, ул. Полевая, 25",UFAOIL,+,+,,,"AdBlue, Доп. товары",
8585,РОССИЯ,Республика Башкортостан,Сибай,,"ул. Баймакская, 143",НОВАТЭК,+,+,+,,,T
8586,РОССИЯ,Республика Башкортостан,Сибай,,"Республика Башкортостан, г. Сибай, шоссе Восточное, 1/1",Омега,,,+,,,A
8587,РОССИЯ,Республика Башкортостан,Сибай,,"Республика Башкортостан, г. Сибай ул. Сельхозтехники, д.11",Башнефтепром,,,+,,,A
8588,РОССИЯ,Республика Башкортостан,Сибай,,"Республика Башкортостан, г. Сибай ул. Белова, д. 23",Башнефтепром,,,+,,,A
8589,РОССИЯ,Республика Башкортостан,Сибай,,"г. Сибай, Восточное шоссе, д. 1/1",Salavat,,,+,,,
8590,РОССИЯ,Республика Башкортостан,Староамирово,,"М-5 Урал, 1377-й км., Буздякский р-он Республика Башкортостан, (вблизи д. Староамирово)",Татнефть,+,+,,,,R
8591,РОССИЯ,Республика Башкортостан,Старокурмашево,,"37Q4+J7 Старокурмашево, Республика Башкортостан, Россия",Татнефть,+,+,+,,,R
8592,РОССИЯ,Республика Башкортостан,Старокурмашево,,"а/д ""Москва-Уфа"", 1278-й км,Старокурмашево, Республика Башкортостан, Россия",Татнефть,+,+,+,,,R
8593,РОССИЯ,Республика Башкортостан,Старомусино,,"Республика Башкортостан, Кармаскалинский р-н, д. Старомусино, ул. Банат Батыровой, д. 1/1",АГЗС,,,+,,,A
8594,РОССИЯ,Республика Башкортостан,Старосултанбеково,,"а/д Уфа- Казань (Сарманай), 1229+680 м, Башкортостан, Дюртюлинский р-н,",Mgas,,+,+,,,A
8595,РОССИЯ,Республика Башкортостан,Старые Туймазы,,"Республика Башкортостан, Туймазинский район, с. Старые Туймазы, а/д Туймазы - Октябрьский, 6 км",Баштранснефть,+,+,+,,,A
8596,РОССИЯ,Республика Башкортостан,Стерлибашево,,"Республика Башкортостан, с. Стерлибашево, 150 м к востоку от кольца при выезде из с. Стерлибашево",ЭКОЙЛ,+,+,+,,,A
8597,РОССИЯ,Республика Башкортостан,Стерлибашево,а/д,"а/д Стерлитамак-Стерлибашево, 50км, Стерлибашевский р-н, с. Стерлибашево, ул. Объездная, 7а # АЗС №79",Газпром,+,+,,,,G
8598,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак, проспект Ленина, 2 Г # АЗС №62",Газпром,+,+,,,,G
8599,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Республика Башкортостан, г.Стерлитамак, ул. Коммунистическая, 118, Объездная улица # АЗС №70",Газпром,+,+,,,,G
8600,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Республика Башкортостан, г. Стерлитамак, Стерлибашевский тракт, 43 # АЗС №72",Газпром,+,+,,,,G
8601,РОССИЯ,Республика Башкортостан,Стерлитамак,,"г. Стерлитамак, ул. Черноморская, 25 # АЗС №63",Газпром,+,+,,,,G
8602,РОССИЯ,Республика Башкортостан,Стерлитамак,,"Республика Башкортостан, г. Стерлитамак, ул. Элеваторная, 9 # АЗС №64",Газпром,+,+,,,,G
8603,РОССИЯ,Республика Башкортостан,Стерлитамак,1Р 316,"Республика Башкортостан, г. Стерлитамак, ул. Курчатова, 46 # АЗС №67",Газпром,+,+,,,,G
